winner,opening_eco,opening_name,time_control,black_rating_group,white_rating_group
white,B03,Alekhine Defense,blitz,intermediate,intermediate
white,B03,Alekhine Defense,bullet,intermediate,intermediate
black,B02,Alekhine Defense,blitz,intermediate,intermediate
black,B03,Alekhine Defense,bullet,intermediate,intermediate
black,B02,Alekhine Defense,rapid,beginner,beginner
draw,B02,Alekhine Defense,bullet,intermediate,intermediate
white,B03,Alekhine Defense,bullet,intermediate,intermediate
black,B02,Alekhine Defense,blitz,beginner,beginner
black,B02,Alekhine Defense,bullet,advanced,advanced
black,B02,Alekhine Defense,bullet,intermediate,intermediate
white,B02,Alekhine Defense,bullet,intermediate,intermediate
black,B02,Alekhine Defense,blitz,beginner,beginner
white,B02,Alekhine Defense,blitz,intermediate,intermediate
white,B02,Alekhine Defense,bullet,beginner,beginner
white,B02,Alekhine Defense,bullet,intermediate,intermediate
black,B02,Alekhine Defense,bullet,beginner,beginner
white,B02,Alekhine Defense,bullet,intermediate,intermediate
draw,B02,Alekhine Defense,bullet,intermediate,intermediate
white,B02,Alekhine Defense,bullet,beginner,beginner
black,B02,Alekhine Defense,bullet,beginner,beginner
black,B02,Alekhine Defense,bullet,beginner,beginner
black,B02,Alekhine Defense,blitz,intermediate,intermediate
black,B02,Alekhine Defense,blitz,intermediate,intermediate
black,B02,Alekhine Defense,bullet,beginner,beginner
white,B02,Alekhine Defense,bullet,beginner,beginner
white,B03,Alekhine Defense,bullet,intermediate,intermediate
white,B02,Alekhine Defense,rapid,beginner,beginner
white,B03,Alekhine Defense #2,bullet,intermediate,intermediate
draw,B03,Alekhine Defense #2,bullet,intermediate,intermediate
black,B03,Alekhine Defense #3,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Brooklyn Variation,rapid,intermediate,intermediate
white,B03,Alekhine Defense: Exchange Variation,blitz,advanced,advanced
black,B03,Alekhine Defense: Exchange Variation,bullet,intermediate,intermediate
white,B03,Alekhine Defense: Exchange Variation,bullet,advanced,advanced
black,B03,Alekhine Defense: Four Pawns Attack,blitz,intermediate,intermediate
white,B03,Alekhine Defense: Four Pawns Attack |  6...Nc6,blitz,intermediate,intermediate
white,B03,Alekhine Defense: Four Pawns Attack |  Trifunovic Variation,bullet,intermediate,intermediate
white,B03,Alekhine Defense: Four Pawns Attack |  Trifunovic Variation,blitz,intermediate,intermediate
white,B02,Alekhine Defense: John Tracy Gambit,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Krejcik Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Maroczy Variation,bullet,beginner,beginner
black,B02,Alekhine Defense: Maroczy Variation,bullet,beginner,beginner
white,B02,Alekhine Defense: Maroczy Variation,blitz,beginner,beginner
white,B02,Alekhine Defense: Maroczy Variation,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Maroczy Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Maroczy Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Maroczy Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Maroczy Variation,bullet,beginner,beginner
white,B02,Alekhine Defense: Maroczy Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Maroczy Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Maroczy Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Maroczy Variation,bullet,intermediate,intermediate
black,B04,Alekhine Defense: Modern Variation |  Larsen Variation,bullet,intermediate,intermediate
white,B04,Alekhine Defense: Modern Variation |  Larsen Variation,blitz,intermediate,intermediate
black,B04,Alekhine Defense: Modern Variation |  Larsen-Haakert Variation,bullet,intermediate,intermediate
black,B05,Alekhine Defense: Modern Variation |  Main Line,bullet,intermediate,intermediate
black,B05,Alekhine Defense: Modern Variation |  Main Line,bullet,beginner,beginner
draw,B02,Alekhine Defense: Mokele Mbembe,bullet,beginner,beginner
white,B02,Alekhine Defense: Mokele Mbembe,bullet,beginner,beginner
white,B02,Alekhine Defense: Mokele Mbembe,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Mokele Mbembe,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Mokele Mbembe,bullet,beginner,beginner
white,B02,Alekhine Defense: Mokele Mbembe,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Mokele Mbembe,bullet,beginner,beginner
black,B02,Alekhine Defense: Mokele Mbembe,bullet,beginner,beginner
white,B02,Alekhine Defense: Mokele Mbembe,bullet,beginner,beginner
black,B02,Alekhine Defense: Mokele Mbembe,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Mokele Mbembe |  Vavra Defense,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Mokele Mbembe |  Vavra Defense,rapid,intermediate,intermediate
white,B02,Alekhine Defense: Mokele Mbembe |  Vavra Defense,bullet,beginner,beginner
white,B02,Alekhine Defense: Normal Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Normal Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Normal Variation,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Normal Variation,rapid,intermediate,intermediate
black,B02,Alekhine Defense: Normal Variation,bullet,beginner,beginner
white,B02,Alekhine Defense: Normal Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Normal Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Normal Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Normal Variation,bullet,beginner,beginner
draw,B02,Alekhine Defense: Normal Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Saemisch Attack,rapid,beginner,beginner
white,B02,Alekhine Defense: Saemisch Attack,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Saemisch Attack,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
draw,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,beginner,beginner
black,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,rapid,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,beginner,beginner
draw,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
